Code;Region;2015;2016;2017;2018;2019;2020
0201011;Bolesławiec (1);97766455.51;96585948.26;100354872.86;100026530.65;110798547.62;113856301.52
0201022;Bolesławiec (2);31072239.8;29138151.04;36830913.88;34848358.56;38715326.98;42888896.64
0201032;Gromadka (2);10899408.78;13139743.96;14541539.51;27057940.92;25721571.91;27544426.64
0201043;Nowogrodziec (3);18569147.18;29417467.57;31883450.73;31788855.91;39134198.61;33419083.79
0201052;Osiecznica (2);16746467.73;17098022.83;17601816.26;19841729.92;21776258.65;24843042.47
0201062;Warta Bolesławiecka (2);16269705.86;16155351.58;16070583.09;16794221.3;18054695.18;19244802.71
0202011;Bielawa (1);54275286.4;58726765.35;60796684.64;61443342.6;70138044.84;67916257.23
0202021;Dzierżoniów (1);54941541.12;61744190.73;61774957.23;71171888;81664887.31;79686672.41
0202031;Pieszyce (1);14010178.59;;;;;
0202033;Pieszyce (3);;12676399.25;12756986.62;14856504.24;16636494.2;16575176.13
0202041;Piława Górna (1);8790657.7;9197868.28;9153569.08;9976844.42;11221924.55;15968081.14
0202052;Dzierżoniów (2);14131794.58;12177775.69;13927658.84;15905456.23;16220712.22;19776268.15
0202062;Łagiewniki (2);10269370.55;9415076.27;9696439.76;11367544.73;12636384.32;20711591.63
0202073;Niemcza (3);7283507.24;6966441.89;7744986.37;7692332.4;11044673.97;15136792.17
0203011;Głogów (1);181673373.93;184604508.49;192843592.79;209547734.35;220202473.52;234749248.45
0203022;Głogów (2);16000178.54;16959491.37;18499752.75;21064506.96;22045446.05;22477371.22
0203032;Jerzmanowa (2);30037009.99;29008049.99;32366375.36;36444736.85;37591134.35;44915504.21
0203042;Kotla (2);8929795.41;8220204.11;8324449.16;8775655.43;9329098.78;15282435.95
0203052;Pęcław (2);3625338.26;2701181.62;4214441.32;3041925.34;3641754.1;4519383.48
0203062;Żukowice (2);7839667.91;8683741.9;8762804.29;11840639.7;10389313.13;16801390.12
0204013;Góra (3);30860275.9;32555952.66;34743227.48;36343200.03;41203198.29;43795233.75
0204022;Jemielno (2);3910672.05;3568442.07;3797134.38;3857764.16;5386402.14;5792514.73
0204032;Niechlów (2);6946781.74;7009839.71;7513087.35;7681848.45;7653772.98;9881556.67
0204043;Wąsosz (3);10639174.91;10681065.86;11526113.86;12865472.43;12834082.03;14920264.11
0205011;Jawor (1);46821528.87;47707547.23;50340786.75;49966760.05;49149261.26;64163194.85
0205023;Bolków (3);11944458.99;12071679.46;13256370.14;14130127.6;15473406.99;26250564.54
0205032;Męcinka (2);9695066;8841202.81;10951319.29;12634930.83;14372334.92;20146295.66
0205042;Mściwojów (2);8530585.42;7302933;8414406.91;7571357.52;8212910.54;11497947.97
0205052;Paszowice (2);6694597.42;6923438.23;6739804.94;7535001.09;9269665.78;11700645.36
0205062;Wądroże Wielkie (2);5633071.98;7160393.03;7786018.14;8904984.75;9763756.79;10749305.96
0206011;Karpacz (1);25423661.73;25473284.89;26466862.76;30340813.95;30802431.79;28318587.3
0206021;Kowary (1);16138066.04;21015053.01;19057069.52;19857636.06;20847650.57;22755724.99
0206031;Piechowice (1);14231742.51;14932637.07;15746168.52;17260083;17391057.15;19512569.74
0206041;Szklarska Poręba (1);25952938.06;26356446.99;30492668.57;32866058.83;33246468.17;32337749.37
0206052;Janowice Wielkie (2);6846366.45;6531200.35;7259267.65;7978131.13;9124914.34;10369907.99
0206062;Jeżów Sudecki (2);13883116.41;13575793.12;14465179.32;15807892.94;18279527.03;20735950.99
0206072;Mysłakowice (2);19413310.86;20220314.8;19896390.66;20678003.72;23009737.79;25210593.75
0206082;Podgórzyn (2);14636884.37;15431407.61;17139587.89;20740128.99;20852342.76;24969684.86
0206092;Stara Kamienica (2);11008427.47;8858602.68;9770991.29;10934028.66;11531567.12;13189041.82
0207011;Kamienna Góra (1);31396080.42;32639210.96;35081697.15;37053246.6;40787953.85;47261608.95
0207022;Kamienna Góra (2);13980689.03;14879219.28;15610779.41;17900854.5;17744171.41;21849848.08
0207033;Lubawka (3);16971716.03;12850564.69;14383692.18;15102609.59;15327600.28;18473712.88
0207042;Marciszów (2);6806734;5745370.5;6524391.8;7328787.55;7042261.6;8374833.24
0208011;Duszniki-Zdrój (1);13672202.79;12309174.37;11320589.28;12827284.79;15110278.81;20023761.84
0208021;Kłodzko (1);51283318.25;52616456.05;54532524.79;57833843.05;59640612.47;64346419.85
0208031;Kudowa-Zdrój (1);20098874.77;21028153.17;21359196.23;23082325.9;26159089.36;26814709.95
0208041;Nowa Ruda (1);37163776.39;39321905.79;40287350.43;45735443.14;47106251.52;49490223.67
0208051;Polanica-Zdrój (1);16084619.42;18317746.16;19561541.77;20184923.76;21834561.93;27669488.3
0208063;Bystrzyca Kłodzka (3);32440630.61;32215108.38;32183930.52;37463599;38091852.27;44674470.73
0208072;Kłodzko (2);22584281.42;22828706.59;26908800.7;26905658.21;32094889.19;39431613.61
0208083;Lądek-Zdrój (3);13916486.09;15079522.77;14820542.22;18799035.51;38645734.73;23973559.46
0208092;Lewin Kłodzki (2);3848657.79;3709896.94;3831229.75;4621862.59;4943836.82;5079815.03
0208103;Międzylesie (3);8612601.6;8781800.69;9687849.57;10927784.05;9996516;11520121.97
0208112;Nowa Ruda (2);17048572.95;17496481.05;19586523.88;19903056.42;20893017.56;27196062.16
0208123;Radków (3);19152047.59;18712717.51;19446070.17;20938139.93;23709252.81;28147575.57
0208133;Stronie Śląskie (3);12686830.23;26227987.71;14841362.52;16137342.93;15610242.43;15584512.34
0208143;Szczytna (3);9788650.33;11008166.44;11733008.34;10875489.21;11536137.14;14305985.94
0209011;Chojnów (1);20741285.41;27536655.32;23922035.81;29834718.19;29895012.62;27741294.92
0209022;Chojnów (2);16916371.76;18209896.73;16742851.72;19511917.76;22261602.31;27952892.71
0209032;Krotoszyce (2);8089889.55;7619010.71;8111773.23;8179307.37;9382763.88;11934803.6
0209042;Kunice (2);15683829.71;16542280.38;18006642.78;19666676.89;22371294.3;24703268.79
0209052;Legnickie Pole (2);14914565.06;16055852.06;21263305.28;18977481.95;23651030.62;23069104.11
0209062;Miłkowice (2);11187622.63;11833839.91;13160119.6;13215340.42;15758222.13;15546590.53
0209073;Prochowice (3);15847272.67;15085025.62;17097352.5;16601077.08;19521116.35;21324085.72
0209082;Ruja (2);4354932.87;5041756.64;4069294.69;4288274.27;4922210.72;6364557.4
