Code	Region	2015	2016	2017	2018	2019	2020
0201011	Bolesławiec (1)	39373	39167	39084	38935	38872	38486
0201022	Bolesławiec (2)	14104	14210	14391	14626	14699	14863
0201032	Gromadka (2)	5438	5417	5345	5367	5337	5317
0201043	Nowogrodziec (3)	15281	15311	15290	15258	15214	15229
0201044	Nowogrodziec - miasto (4)	4259	4237	4244	4235	4207	4263
0201045	Nowogrodziec - obszar wiejski (5)	11022	11074	11046	11023	11007	10966
0201052	Osiecznica (2)	7490	7482	7398	7371	7349	7288
0201062	Warta Bolesławiecka (2)	8513	8593	8665	8643	8632	8579
0202011	Bielawa (1)	30652	30357	30207	30055	29872	29523
0202021	Dzierżoniów (1)	33946	33785	33653	33344	33137	32869
0202031	Pieszyce (1)	9628					
0202033	Pieszyce (3)		9633	9550	9492	9410	9318
0202034	Pieszyce - miasto (4)		7230	7170	7136	7095	7012
0202035	Pieszyce - obszar wiejski (5)		2403	2380	2356	2315	2306
0202041	Piława Górna (1)	6633	6569	6479	6457	6394	6364
0202052	Dzierżoniów (2)	9250	9199	9185	9138	9092	9013
0202062	Łagiewniki (2)	7541	7495	7458	7449	7438	7437
0202073	Niemcza (3)	5699	5611	5545	5502	5470	5411
0202074	Niemcza - miasto (4)	3062	3017	2981	2974	2963	2932
0202075	Niemcza - obszar wiejski (5)	2637	2594	2564	2528	2507	2479
0203011	Głogów (1)	68666	68292	68179	67615	66980	66120
0203022	Głogów (2)	6538	6602	6663	6734	6791	6845
0203032	Jerzmanowa (2)	4743	4868	4925	5042	5156	5347
0203042	Kotla (2)	4461	4430	4415	4430	4455	4456
0203052	Pęcław (2)	2281	2299	2284	2274	2259	2210
0203062	Żukowice (2)	3516	3498	3467	3446	3461	3469
0204013	Góra (3)	20426	20306	20177	20037	19878	19720
0204014	Góra - miasto (4)	12217	12084	11994	11859	11678	11574
0204015	Góra - obszar wiejski (5)	8209	8222	8183	8178	8200	8146
0204022	Jemielno (2)	3130	3066	3051	3010	2997	2967
0204032	Niechlów (2)	5004	5028	4985	4939	4840	4801
0204043	Wąsosz (3)	7380	7315	7260	7196	7155	7064
0204044	Wąsosz - miasto (4)	2771	2733	2688	2672	2660	2647
0204045	Wąsosz - obszar wiejski (5)	4609	4582	4572	4524	4495	4417
0205011	Jawor (1)	23650	23473	23266	23056	22758	22462
0205023	Bolków (3)	10716	10631	10611	10503	10388	10311
0205024	Bolków - miasto (4)	5155	5093	5047	5001	4967	4913
